Image Sticker,Slice Index,Model,IoU,Dice
lung_074,300,EfficientSAM (VIT-tiny),0.3219904866447127,0.4871298090229726
lung_074,300,EfficientSAM (VIT-small),0.3167634252539913,0.481124276660237
lung_074,301,EfficientSAM (VIT-tiny),0.3353768481788676,0.5022954361328652
lung_074,301,EfficientSAM (VIT-small),0.3210976478973628,0.4861073644456434
lung_074,302,EfficientSAM (VIT-tiny),0.26047283284944,0.4132938466600855
lung_074,302,EfficientSAM (VIT-small),0.3236196319018405,0.488991888760139
lung_074,303,EfficientSAM (VIT-tiny),0.3663890991672975,0.5362880886426593
lung_074,303,EfficientSAM (VIT-small),0.3332074046089913,0.4998583168036271
lung_074,304,EfficientSAM (VIT-tiny),0.3285824345146379,0.4946361264134531
lung_074,304,EfficientSAM (VIT-small),0.2865807429871114,0.4454920447849145
lung_074,305,EfficientSAM (VIT-tiny),0.3032506415739949,0.4653757794552018
lung_074,305,EfficientSAM (VIT-small),0.3041926851025869,0.466484268125855
lung_074,306,EfficientSAM (VIT-tiny),0.3018108651911468,0.463678516228748
lung_074,306,EfficientSAM (VIT-small),0.3032324268855823,0.4653543307086614
lung_074,307,EfficientSAM (VIT-tiny),0.3462765957446808,0.5144211774002371
lung_074,307,EfficientSAM (VIT-small),0.3091499729290742,0.4722911497105045
lung_074,308,EfficientSAM (VIT-tiny),0.2741652021089631,0.4303448275862069
lung_074,308,EfficientSAM (VIT-small),0.265,0.4189723320158103
lung_074,309,EfficientSAM (VIT-tiny),0.2855511136493432,0.444247001332741
lung_074,309,EfficientSAM (VIT-small),0.2721774193548387,0.4278922345483359
lung_074,310,EfficientSAM (VIT-tiny),0.2814902424600828,0.4393170281495154
lung_074,310,EfficientSAM (VIT-small),0.2757352941176471,0.4322766570605187
lung_074,311,EfficientSAM (VIT-tiny),0.2647257955314827,0.4186295503211991
lung_074,311,EfficientSAM (VIT-small),0.2689367616400278,0.4238773274917853
lung_074,312,EfficientSAM (VIT-tiny),0.2661064425770308,0.4203539823008849
lung_074,312,EfficientSAM (VIT-small),0.2712230215827338,0.4267119411431805
lung_074,313,EfficientSAM (VIT-tiny),0.3063858695652174,0.469058762350494
lung_074,313,EfficientSAM (VIT-small),0.3096060815480304,0.4728232189973614
lung_074,314,EfficientSAM (VIT-tiny),0.2022194821208384,0.3364102564102564
lung_074,314,EfficientSAM (VIT-small),0.2035065748278021,0.3381893860561915
lung_074,315,EfficientSAM (VIT-tiny),0.2140287769784172,0.3525925925925925
lung_074,315,EfficientSAM (VIT-small),0.2161997563946406,0.3555332999499249
lung_074,316,EfficientSAM (VIT-tiny),0.1846337105419892,0.3117144293614882
lung_074,316,EfficientSAM (VIT-small),0.1869328493647913,0.3149847094801223
lung_074,317,EfficientSAM (VIT-tiny),0.1405895691609977,0.246520874751491
lung_074,317,EfficientSAM (VIT-small),0.1422070534698521,0.249003984063745
